date,value,month
2022-01-15,0.00019627004775978887,202201
2022-02-15,0.0001859834718674468,202202
2022-03-15,0.0001741706051203612,202203
2022-04-15,0.00016954387411565245,202204
2022-05-15,0.00015605157238978527,202205
2022-06-15,0.0001309055654823169,202206
2022-07-15,-4.271727806677478e-05,202207
2022-08-15,-4.8801343832629326e-06,202208
2022-09-15,6.612375324623118e-05,202209
2022-10-15,0.0001530331742182148,202210
2022-11-15,0.00023190170627750123,202211
2022-12-15,0.00046596151592726226,202212
2023-01-15,0.0002895053150070038,202301
2023-02-15,0.00023453036488559376,202302
2023-03-15,0.00014084407856408964,202303
2023-04-15,0.0001885274105205345,202304
2023-05-15,0.00014668355360808452,202305
2023-06-15,9.360019507565645e-05,202306
2023-07-15,-4.417291193277062e-05,202307
2023-08-15,1.2678237966228528e-05,202308
2023-09-15,8.43908867650317e-05,202309
2023-10-15,0.00020403196190530692,202310
2023-11-15,0.00012596830958779448,202311
2023-12-15,0.0005086044318464086,202312
