date,value,month
2022-01-15,0.00012051448131359227,202201
2022-02-15,0.000154650223068514,202202
2022-03-15,0.0002014181095754427,202203
2022-04-15,0.00022285549077381275,202204
2022-05-15,0.00026264141225608293,202205
2022-06-15,0.00024271027501163267,202206
2022-07-15,0.00020743276342656346,202207
2022-08-15,0.00017622823368465085,202208
2022-09-15,0.00022506760516055954,202209
2022-10-15,0.0002858980369986323,202210
2022-11-15,0.0002612348122542419,202211
2022-12-15,0.0001822537431054948,202212
2023-01-15,0.00018891113490399796,202301
2023-02-15,0.00017816490740890948,202302
2023-03-15,0.00020235767903954658,202303
2023-04-15,0.00020501716712769246,202304
2023-05-15,0.00023672070039987096,202305
2023-06-15,0.00024137249876722108,202306
2023-07-15,0.00024212306052388735,202307
2023-08-15,0.00021188127521896974,202308
2023-09-15,0.00021155784287017485,202309
2023-10-15,0.0002592389157543475,202310
2023-11-15,0.00028611162099870816,202311
2023-12-15,0.00022070268428222458,202312
