date,value,month
2022-01-15,0.00011743341557877574,202201
2022-02-15,0.000127224297820757,202202
2022-03-15,0.00010910326477833602,202203
2022-04-15,0.0001236990889326361,202204
2022-05-15,0.00011805112612540325,202205
2022-06-15,0.00011648562002760427,202206
2022-07-15,9.554781465728228e-05,202207
2022-08-15,8.869616879497888e-05,202208
2022-09-15,0.00010327826900477037,202209
2022-10-15,0.00011437626536805421,202210
2022-11-15,0.000135365902771314,202211
2022-12-15,0.00016482495474572063,202212
2023-01-15,0.00017746014206725878,202301
2023-02-15,0.0001303316311858522,202302
2023-03-15,0.00011460231643301526,202303
2023-04-15,0.0001222518167322688,202304
2023-05-15,0.00012571537680149204,202305
2023-06-15,0.00011216275128619505,202306
2023-07-15,9.959208475780133e-05,202307
2023-08-15,9.545659396001986e-05,202308
2023-09-15,0.00010187378789661101,202309
2023-10-15,0.00012556841124530355,202310
2023-11-15,0.00013001247804950242,202311
2023-12-15,0.00015380361024602273,202312
