date,value,month,u_wind,v_wind,wind_speed,wind_direction,regime,is_local,is_advected,origin_lon,origin_lat,trajectory_distance
2022-11-15,0.0412924302134359,202211,3.6590168,-3.5290236,5.414114,289.7261,advected_west,False,True,72.81533376042499,25.66735658231373,587.2143516894871
2023-11-15,0.0499468284446342,202311,0.44106138,-0.61642176,3.9366221,234.56038,local,True,False,84.35720472902823,27.900648036993864,797.39080445957
2023-12-15,0.0431219656999027,202312,2.4458022,-2.765502,4.5146146,254.77303,local,True,False,70.16654395182212,30.328041524570523,804.5353843205498
