date,value,month
2022-01-15,0.039788894930793337,202201
2022-02-15,0.03979454917040122,202202
2022-03-15,0.04101709513004088,202203
2022-04-15,0.0398043612481569,202204
2022-05-15,0.04114420868866251,202205
2022-06-15,0.037139425175078275,202206
2022-07-15,0.03565595963978908,202207
2022-08-15,0.03363440424135353,202208
2022-09-15,0.03615910625346175,202209
2022-10-15,0.039439041388744114,202210
2022-11-15,0.041292430213435954,202211
2022-12-15,0.03899123453534503,202212
2023-01-15,0.039608753678497435,202301
2023-02-15,0.039334195881394536,202302
2023-03-15,0.03897282019353974,202303
2023-04-15,0.03821147657232842,202304
2023-05-15,0.0391832950188561,202305
2023-06-15,0.03476872949892371,202306
2023-07-15,0.036530382745151385,202307
2023-08-15,0.03617382527780192,202308
2023-09-15,0.03792222267116043,202309
2023-10-15,0.038435344210752245,202310
2023-11-15,0.04994682844463425,202311
2023-12-15,0.043121965699902766,202312
